Player ID,Player,Nationality,Team Name,Position,Age,Season,FIFA rating,Injury,Date of Injury,Date of return,Recovery Time(days),total_minutes_played,matches_played,total_yellow_cards,total_red_cards,total_goals,total_assists,fatigue_level
183318,Jamaal Lascelles,England,Newcastle,Center Back,26,2019/20,77,Knee injury,2019-11-09,2020-01-13,65.0,2498.0,30.0,4.0,0.0,1.0,1.0,48.28
135343,Fabian Schär,Switzerland,Newcastle,Center Back,28,2019/20,79,Knee injury,2019-10-20,2019-11-24,35.0,2712.0,32.0,10.0,0.0,6.0,1.0,52.42
135343,Fabian Schär,Switzerland,Newcastle,Center Back,28,2019/20,79,Hamstring strain,2020-01-02,2020-01-17,15.0,2712.0,32.0,10.0,0.0,6.0,1.0,52.42
135343,Fabian Schär,Switzerland,Newcastle,Center Back,28,2019/20,79,Shoulder injury,2020-07-16,2020-09-28,74.0,2712.0,32.0,10.0,0.0,6.0,1.0,52.42
170321,Paul Dummett,Wales,Newcastle,Center Back,28,2019/20,75,Groin injury,2019-12-22,2020-01-10,19.0,2032.0,27.0,3.0,0.0,0.0,0.0,39.27
98240,Ciaran Clark,Ireland,Newcastle,Center Back,30,2019/20,75,Calf injury,2019-12-09,2020-01-10,32.0,991.0,12.0,2.0,0.0,3.0,0.0,19.15
98240,Ciaran Clark,Ireland,Newcastle,Center Back,30,2019/20,75,Ankle injury,2020-02-16,2020-09-14,211.0,991.0,12.0,2.0,0.0,3.0,0.0,19.15
255916,DeAndre Yedlin,United States,Newcastle,Right Back,26,2019/20,74,Groin problems,2019-04-28,2019-09-28,153.0,1656.0,21.0,4.0,0.0,1.0,1.0,32.01
255916,DeAndre Yedlin,United States,Newcastle,Right Back,26,2019/20,74,Hip injury,2019-11-27,2019-12-10,13.0,1656.0,21.0,4.0,0.0,1.0,1.0,32.01
255916,DeAndre Yedlin,United States,Newcastle,Right Back,26,2019/20,74,Hand injury,2020-01-05,2020-01-23,18.0,1656.0,21.0,4.0,0.0,1.0,1.0,32.01
184528,Emil Krafth,Sweden,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-01-21,2020-06-20,151.0,2130.0,27.0,1.0,0.0,0.0,0.0,41.17
184528,Emil Krafth,Sweden,Newcastle,Right Back,25,2019/20,75,Ankle injury,2020-07-21,2020-09-11,52.0,2130.0,27.0,1.0,0.0,0.0,0.0,41.17
206225,Isaac Hayden,Jamaica,Newcastle,Defensive Midfielder,25,2019/20,78,Hamstring strain,2020-07-05,2020-07-25,20.0,3126.0,37.0,5.0,1.0,1.0,5.0,60.42
346707,Sean Longstaff,England,Newcastle,Central Midfielder,22,2019/20,74,Ankle injury,2019-09-01,2019-09-28,27.0,1791.0,24.0,4.0,1.0,2.0,2.0,34.62
346707,Sean Longstaff,England,Newcastle,Central Midfielder,22,2019/20,74,Hamstring injury,2020-07-01,2020-07-25,24.0,1791.0,24.0,4.0,1.0,2.0,2.0,34.62
92469,Matt Ritchie,Scotland,Newcastle,Right Midfielder,30,2019/20,76,Ankle injury,2019-08-28,2020-01-03,128.0,2099.0,24.0,6.0,0.0,3.0,6.0,40.57
272642,Allan Saint-Maximin,France,Newcastle,Left winger,23,2019/20,79,Hamstring strain,2019-09-22,2019-09-28,6.0,2400.0,30.0,0.0,0.0,4.0,3.0,46.39
272999,Miguel Almirón,Paraguay,Newcastle,Right winger,26,2019/20,76,Hamstring injury,2019-12-09,2019-12-20,11.0,2352.0,29.0,3.0,0.0,1.0,1.0,45.46
183318,Jamaal Lascelles,England,Newcastle,Center Back,27,2020/21,77,Hip injury,2020-09-28,2020-10-16,18.0,2197.0,25.0,6.0,0.0,0.0,0.0,42.46
183318,Jamaal Lascelles,England,Newcastle,Center Back,27,2020/21,77,Muscle fatigue,2020-11-22,2021-01-17,56.0,2197.0,25.0,6.0,0.0,0.0,0.0,42.46
183318,Jamaal Lascelles,England,Newcastle,Center Back,27,2020/21,77,Hamstring strain,2021-01-31,2021-02-14,14.0,2197.0,25.0,6.0,0.0,0.0,0.0,42.46
183318,Jamaal Lascelles,England,Newcastle,Center Back,27,2020/21,77,Foot injury,2021-04-04,2021-06-01,58.0,2197.0,25.0,6.0,0.0,0.0,0.0,42.46
135343,Fabian Schär,Switzerland,Newcastle,Center Back,29,2020/21,79,Virus,2020-11-29,2020-12-25,26.0,1456.0,21.0,2.0,0.0,0.0,0.0,28.14
135343,Fabian Schär,Switzerland,Newcastle,Center Back,29,2020/21,79,Knee injury,2021-02-07,2021-04-25,77.0,1456.0,21.0,2.0,0.0,0.0,0.0,28.14
98240,Ciaran Clark,Ireland,Newcastle,Center Back,31,2020/21,76,Calf injury,2021-01-19,2021-01-29,10.0,1167.0,14.0,2.0,0.0,1.0,0.0,22.56
98240,Ciaran Clark,Ireland,Newcastle,Center Back,31,2020/21,76,Knock,2021-02-04,2021-02-14,10.0,1167.0,14.0,2.0,0.0,1.0,0.0,22.56
206225,Isaac Hayden,Jamaica,Newcastle,Defensive Midfielder,26,2020/21,78,Coronavirus,2020-11-25,2020-12-11,16.0,2064.0,30.0,6.0,0.0,1.0,1.0,39.89
206225,Isaac Hayden,Jamaica,Newcastle,Defensive Midfielder,26,2020/21,87,Knee injury,2021-03-20,2021-06-01,73.0,2064.0,30.0,6.0,0.0,1.0,1.0,39.89
92469,Matt Ritchie,Scotland,Newcastle,Right Midfielder,31,2020/21,76,Shoulder injury,2020-09-27,2020-11-25,59.0,1772.0,25.0,4.0,0.0,2.0,2.0,34.25
272642,Allan Saint-Maximin,France,Newcastle,Left winger,24,2020/21,79,Ankle injury,2020-09-21,2020-10-01,10.0,1945.0,26.0,0.0,0.0,4.0,7.0,37.59
272642,Allan Saint-Maximin,France,Newcastle,Left winger,24,2020/21,79,Calf injury,2020-11-22,2021-01-22,61.0,1945.0,26.0,0.0,0.0,4.0,7.0,37.59
272642,Allan Saint-Maximin,France,Newcastle,Left winger,24,2020/21,79,Groin injury,2021-02-28,2021-04-04,35.0,1945.0,26.0,0.0,0.0,4.0,7.0,37.59
272999,Miguel Almirón,Paraguay,Newcastle,Right winger,27,2020/21,76,Knee injury,2021-02-28,2021-03-15,15.0,2666.0,37.0,3.0,0.0,8.0,2.0,51.53
346018,Jamal Lewis,Northern Ireland,Newcastle,Left Back,23,2020/21,75,Knee problems,2020-12-31,2021-01-15,15.0,2586.0,32.0,6.0,0.0,1.0,0.0,49.98
146795,Ryan Fraser,Scotland,Newcastle,Left winger,27,2020/21,77,Hamstring injury,2020-11-02,2020-12-15,43.0,1131.0,18.0,0.0,0.0,0.0,3.0,21.86
146795,Ryan Fraser,Scotland,Newcastle,Left winger,27,2020/21,77,Groin injury,2021-04-01,2021-05-31,60.0,1131.0,18.0,0.0,0.0,0.0,3.0,21.86
123682,Callum Wilson,England,Newcastle,Center Forward,29,2020/21,79,Hamstring strain,2020-11-07,2020-11-26,19.0,2559.0,31.0,7.0,0.0,12.0,5.0,49.46
123682,Callum Wilson,England,Newcastle,Center Forward,29,2020/21,79,Hamstring injury,2021-02-07,2021-04-04,56.0,2559.0,31.0,7.0,0.0,12.0,5.0,49.46
123682,Callum Wilson,England,Newcastle,Center Forward,29,2020/21,79,Hamstring injury,2021-05-08,2021-05-25,17.0,2559.0,31.0,7.0,0.0,12.0,5.0,49.46
183318,Jamaal Lascelles,England,Newcastle,Center Back,28,2021/22,77,Ill,2022-02-11,2022-02-16,5.0,2350.0,27.0,9.0,0.0,3.0,0.0,45.42
170321,Paul Dummett,Wales,Newcastle,Center Back,30,2021/22,75,Calf injury,2021-07-28,2022-01-01,157.0,1297.0,15.0,2.0,0.0,1.0,0.0,25.07
333241,Joelinton,Brazil,Newcastle,Central Midfielder,25,2021/22,79,Knock,2022-03-07,2022-03-15,8.0,2391.0,36.0,5.0,0.0,4.0,1.0,46.21
272642,Allan Saint-Maximin,France,Newcastle,Left winger,25,2021/22,79,Ill & knock,2022-02-14,2022-03-12,26.0,2605.0,36.0,3.0,0.0,6.0,6.0,50.35
340329,Joe Willock,England,Newcastle,Central Midfielder,22,2021/22,75,Coronavirus,2021-12-21,2021-12-31,10.0,2112.0,33.0,0.0,0.0,8.0,0.0,40.82
340329,Joe Willock,England,Newcastle,Central Midfielder,22,2021/22,75,Knee injury,2022-04-04,2022-04-10,6.0,2112.0,33.0,0.0,0.0,8.0,0.0,40.82
340329,Joe Willock,England,Newcastle,Central Midfielder,22,2021/22,75,Knee injury,2022-05-01,2022-05-25,24.0,2112.0,33.0,0.0,0.0,8.0,0.0,40.82
146795,Ryan Fraser,Scotland,Newcastle,Left winger,28,2021/22,77,Hamstring injury,2022-04-08,2022-05-09,31.0,1256.0,25.0,3.0,0.0,0.0,2.0,24.28
